GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.O,rank.P,D*2 (Q&R),D*2 (Q&S),D*2 (R&S)
Apache Commons Collections,org.apache.commons.collections4.map,PassiveExpiringMap.ConstantTimeToLiveExpirationPolicy,6,33,1,3,3,10,2,4,1,3,0.846153846,0.75,6,67,45.5,93.5,462.25,702.25,2304
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator,2,23,0,2,1,7,1,4,1,3,0.92,1,5,90,205,79.5,13225,110.25,15750.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkIterator,15,158,4,14,4,33,4,14,0,9,0.913294798,0.777777778,18,89,49.5,190.5,1560.25,10302.25,19881
Apache Commons Collections,org.apache.commons.collections4.map,LazySortedMap,0,75,0,0,0,16,0,11,0,11,1,0.81,11,177,97,143.5,6400,1122.25,2162.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.BaseIterator,0,110,0,12,0,24,0,10,0,4,1,1,10,176.5,202.5,132,676,1980.25,4970.25
Apache Commons Collections,org.apache.commons.collections4.map,LinkedMap.LinkedMapList,4,84,0,0,1,19,1,17,1,17,0.954545455,0.81,18,101,96.5,188,20.25,7569,8372.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.1.new Transformer() {...},0,15,0,0,0,2,0,2,0,2,1,0.81,2,175,96,23,6241,23104,5329
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.FlatMapIterator,112,102,11,15,19,30,12,13,3,6,0.476635514,0.576923077,25,15,31,204.5,256,35910.25,30102.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.KeySet,0,77,2,6,0,15,2,8,0,6,1,0.75,10,173.5,44,130.5,16770.25,1849,7482.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedMapIterator,13,133,0,10,4,32,1,15,1,10,0.910958904,1,16,86,198,176.5,12544,8190.25,462.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.ValuesIterator,0,8,0,0,0,3,0,2,0,2,1,0.81,2,172,93.5,22.5,6162.25,22350.25,5041
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet.UnmodifiableEntrySetIterator,0,21,0,0,0,5,0,3,0,3,1,0.81,3,171.5,93,48,6162.25,15252.25,2025
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.new LazyIteratorChain() {...},0,36,0,2,0,6,0,3,0,2,1,1,3,171,195.5,47.5,600.25,15252.25,21904
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.ValuesIterator,0,41,0,2,0,11,0,5,0,4,1,1,5,170.5,195,75,600.25,9120.25,14400
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap.SingletonValues,4,23,0,0,1,7,1,5,1,5,0.851851852,0.81,6,67,92.5,87,650.25,400,30.25
Apache Commons Collections,org.apache.commons.collections4.map,EntrySetToMapIteratorAdapter,0,57,0,2,0,18,0,10,0,9,1,1,10,169,193.5,125,600.25,1936,4692.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntry,33,189,16,26,5,37,14,16,0,9,0.851351351,0.619047619,30,66,32,200,1156,17956,28224
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.KeySet,0,53,0,4,0,15,0,8,0,6,1,1,8,167.5,192,106.5,600.25,3721,7310.25
Apache Commons Collections,org.apache.commons.collections4.map,PassiveExpiringMap,26,246,0,18,8,66,4,32,4,23,0.904411765,1,36,79,191.5,201.5,12656.25,15006.25,100
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySet,0,116,1,9,0,21,1,8,0,4,1,0.9,9,166,143,114.5,529,2652.25,812.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedMapEntry,0,22,0,0,0,5,0,3,0,3,1,0.81,3,165.5,91,47,5550.25,14042.25,1936
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceMapIterator,0,48,0,6,0,15,0,8,0,5,1,1,8,165,189,105,576,3600,7056
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.EntryIterator,0,11,0,0,0,2,0,2,0,2,1,0.81,2,164.5,90.5,22,5476,20306.25,4692.25
Apache Commons Collections,org.apache.commons.collections4.map,HashedMap,0,35,0,0,0,15,0,7,0,7,1,0.81,7,164,90,94,5476,4900,16
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.EntrySet,0,116,0,10,0,24,0,11,0,6,1,1,11,163.5,186.5,128,529,1260.25,3422.25
Apache Commons Collections,org.apache.commons.collections4.map,LRUMap,203,296,9,31,17,87,13,32,5,20,0.593186373,0.775,45,27,45,202.5,324,30800.25,24806.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiKeyMap,149,1431,109,191,7,304,81,108,0,39,0.905696203,0.636666667,189,78,34,215,1936,18769,32761
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.MapEntry,0,20,0,0,0,6,0,2,0,2,1,0.81,2,161,87.5,21.5,5402.25,19460.25,4356
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap.SingletonMapIterator,26,97,5,9,7,24,6,12,1,10,0.788617886,0.642857143,18,52,34,170.5,324,14042.25,18632.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap,22,433,4,38,1,99,4,45,0,28,0.951648352,0.904761905,49,91,137,203,2116,12544,4356
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.Values,4,36,0,2,2,7,1,4,1,3,0.9,1,5,75,181,71.5,11236,12.25,11990.25
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeSortedMap,21,94,2,2,6,21,4,15,3,14,0.817391304,0.5,19,59,24,172.5,1225,12882.25,22052.25
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map,144,1247,64,226,30,328,61,123,0,23,0.896477354,0.779310345,184,73,43,209,900,18496,27556
Apache Commons Collections,org.apache.commons.collections4.map,LinkedMap,9,76,0,4,4,21,2,12,2,10,0.894117647,1,14,71,178.5,148,11556.25,5929,930.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySetIterator,0,24,0,0,0,6,0,2,0,2,1,0.81,2,154.5,84,21,4970.25,17822.25,3969
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntrySet,0,38,0,2,0,8,0,4,0,3,1,1,4,154,177,57,529,9409,14400
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceMap,24,28,0,0,6,10,3,4,3,4,0.538461538,0.81,7,18,83.5,89.5,4290.25,5112.25,36
Apache Commons Collections,org.apache.commons.collections4.map,DefaultedMap,15,79,3,7,3,21,3,11,0,9,0.840425532,0.7,14,61,34,144.5,729,6972.25,12210.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedIterator,0,34,0,0,0,9,0,3,0,3,1,0.81,3,151.5,82,43.5,4830.25,11664,1482.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.ReflectionFactory,15,26,1,3,2,8,1,4,0,3,0.634146341,0.75,5,30,38.5,68,72.25,1444,870.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceValuesIterator,0,8,0,0,0,3,0,2,0,2,1,0.81,2,150,80.5,20.5,4830.25,16770.25,3600
Apache Commons Collections,org.apache.commons.collections4.map,AbstractMapDecorator,0,92,0,4,0,27,0,20,0,18,1,1,20,149.5,171.5,167.5,484,324,16
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap,40,573,11,63,13,121,12,44,3,16,0.934747145,0.851351351,56,78,120,193,1764,13225,5329
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.KeySet,0,35,0,0,0,11,0,6,0,6,1,0.81,6,148,80,77.5,4624,4970.25,6.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.KeySetIterator,0,8,0,0,0,3,0,2,0,2,1,0.81,2,147.5,79.5,20,4624,16256.25,3540.25
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap,114,190,20,15,29,50,21,30,5,28,0.625,0.428571429,51,27,17,190,100,26569,29929
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.EntrySet,0,64,0,10,0,19,0,11,0,6,1,1,11,146,167,117.5,441,812.25,2450.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.KeySetIterator,4,8,0,0,1,3,1,2,1,2,0.666666667,0.81,3,32.5,78,41,2070.25,72.25,1369
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntryIterator,34,42,3,3,8,9,3,4,1,3,0.552631579,0.5,7,19,22.5,83,12.25,4096,3660.25
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntrySetIterator,0,7,0,0,0,3,0,2,0,2,1,0.81,2,143.5,76.5,19.5,4489,15376,3249
Apache Commons Collections,org.apache.commons.collections4.map,CaseInsensitiveMap,5,60,0,4,2,19,1,9,1,7,0.923076923,1,10,71,163.5,105.5,8556.25,1190.25,3364
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator.SortedMapIterator,29,0,0,0,8,0,4,0,4,0,0,0.81,4,2.5,76,51.5,5402.25,2401,600.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ValuesView,0,44,0,0,0,11,0,8,0,8,1,0.81,8,141,75.5,88.5,4290.25,2756.25,169
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.EntrySetIterator,0,7,0,0,0,3,0,2,0,2,1,0.81,2,140.5,75,19,4290.25,14762.25,3136
Apache Commons Collections,org.apache.commons.collections4.map,AbstractIterableMap,0,9,0,0,0,2,0,2,0,2,1,0.81,2,140,74.5,18.5,4290.25,14762.25,3136
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap,10,331,0,40,4,72,3,40,3,20,0.970674487,1,43,90,159,175,4761,7225,256
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceKeySet,0,34,0,2,0,8,0,4,0,3,1,1,4,138.5,158.5,49,400,8010.25,11990.25
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,29,67,0,2,4,21,4,14,4,13,0.697916667,1,18,32,158,149,15876,13689,81
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceIdentityMap,24,61,0,6,6,16,3,11,3,8,0.717647059,1,14,35,157.5,129,15006.25,8836,812.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashMapIterator,0,48,0,6,0,15,0,8,0,5,1,1,8,136,157,85,441,2601,5184
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator,51,23,4,0,9,8,8,6,6,6,0.310810811,0,14,7,7,127.5,0,14520.25,14520.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkMapIterator,0,52,0,6,0,16,0,9,0,6,1,1,9,134.5,155.5,91,441,1892.25,4160.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,13,327,5,39,2,86,6,38,1,21,0.961764706,0.886363636,44,79,112,169,1089,8100,3249
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashIterator,6,147,2,18,2,36,2,14,0,6,0.960784314,0.9,16,78,114.5,137,1332.25,3481,506.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.Values,0,21,0,0,0,5,0,4,0,4,1,0.81,4,132,73,48.5,3481,6972.25,600.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntrySetIterator,0,7,0,0,0,3,0,2,0,2,1,0.81,2,131.5,72.5,18,3481,12882.25,2970.25
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableOrderedMap,0,72,0,2,0,24,0,13,0,12,1,1,13,131,151,118,400,169,1089
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.EntrySetView,0,92,0,8,0,26,0,16,0,12,1,1,16,130.5,150.5,133.5,400,9,289
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.ValuesIterator,0,8,0,0,0,3,0,2,0,2,1,0.81,2,130,72,17.5,3364,12656.25,2970.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashEntry,2,107,2,20,1,23,2,16,0,7,0.981651376,0.909090909,18,85,112,138.5,729,2862.25,702.25
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet.UnmodifiableEntry,0,11,0,0,0,4,0,2,0,2,1,0.81,2,128.5,71.5,17,3249,12432.25,2970.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap.WrappedList,104,70,6,6,25,19,11,9,8,6,0.402298851,0.5,20,8,21,142,169,17956,14641
Apache Commons Collections,org.apache.commons.collections4.multimap,ArrayListValuedHashMap,34,48,2,0,10,16,4,6,3,6,0.585365854,0,10,19.5,6.5,94,169,5550.25,7656.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap.ValuesListIterator,44,76,0,4,11,18,6,7,6,5,0.633333333,1,13,22.5,145,114.5,15006.25,8464,930.25
Apache Commons Collections,org.apache.commons.collections4.multimap,TransformedMultiValuedMap,10,156,4,16,2,35,4,15,0,9,0.939759036,0.8,19,67,37,137,900,4900,10000
Apache Commons Collections,org.apache.commons.collections4.multimap,HashSetValuedHashMap,25,38,0,0,8,13,3,5,3,5,0.603174603,0.81,8,21,68,80.5,2209,3540.25,156.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet.MapEntryTransformer,0,12,0,0,0,2,0,2,0,2,1,0.81,2,123,67.5,16.5,3080.25,11342.25,2601
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap,87,347,15,43,16,81,16,42,4,25,0.799539171,0.74137931,58,42,31,159.5,121,13806.25,16512.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues.1.new Transformer() {...},0,20,0,0,0,2,0,2,0,2,1,0.81,2,121.5,66,16,3080.25,11130.25,2500
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.MultiValuedMapEntry,0,12,0,0,0,4,0,2,0,2,1,0.81,2,121,65.5,15.5,3080.25,11130.25,2500
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap,0,27,0,0,0,8,0,6,0,6,1,0.81,6,120.5,65,63,3080.25,3306.25,4
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet.MapEntryTransformer.new AbstractMultiSet.AbstractEntry() {...},0,19,0,0,0,3,0,3,0,3,1,0.81,3,120,64.5,31.5,3080.25,7832.25,1089
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues.new LazyIteratorChain() {...},0,49,0,2,0,8,0,3,0,2,1,1,3,119.5,136.5,31,289,7832.25,11130.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.WrappedCollection,101,131,19,15,31,33,17,16,6,10,0.564655172,0.441176471,33,16,15,145,1,16641,16900
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.ValuesIterator,0,43,0,2,0,11,0,5,0,4,1,1,5,118,135,50.5,289,4556.25,7140.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet,0,56,1,1,0,12,1,7,0,7,1,0.5,8,117.5,18.5,73,9801,1980.25,2970.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap.AsMapEntrySet,0,50,0,2,0,11,0,7,0,6,1,1,7,117,133.5,66.5,272.25,2550.25,4489
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues,0,15,0,0,0,3,0,3,0,3,1,0.81,3,116.5,62,30.5,2970.25,7396,992.25
Apache Commons Collections,org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,24,55,0,2,6,13,6,11,6,10,0.696202532,1,17,25,132,121,11449,9216,121
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.MultiValuedMapIterator,27,39,5,1,7,11,5,5,2,5,0.590909091,0.166666667,10,19,12,82.5,49,4032.25,4970.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap,0,90,0,8,0,24,0,15,0,11,1,1,15,114,130.5,112,272.25,4,342.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.Values,0,40,0,2,0,9,0,5,0,4,1,1,5,113.5,130,49,272.25,4160.25,6561
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap,0,27,0,0,0,8,0,6,0,6,1,0.81,6,113,60.5,57.5,2756.25,3080.25,9
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap.AsMapEntrySetIterator,0,24,0,0,0,6,0,2,0,2,1,0.81,2,112.5,60,15,2756.25,9506.25,2025
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMapDecorator,26,98,0,4,5,26,5,21,5,19,0.790322581,1,26,36,127.5,132,8372.25,9216,20.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap.WrappedSet,0,37,0,4,0,12,0,5,0,3,1,1,5,111,127,47.5,256,4032.25,6320.25
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,0,45,0,2,0,13,0,10,0,9,1,1,10,110.5,126.5,78,256,1056.25,2352.25
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,0,83,0,2,0,24,0,15,0,14,1,1,15,110,126,106.5,256,12.25,380.25
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,5,151,1,9,1,31,1,22,0,18,0.967948718,0.9,23,72,94,123.5,484,2652.25,870.25
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet.OrderedSetIterator,14,28,0,0,3,9,2,3,2,3,0.666666667,0.81,5,23,59.5,47,1332.25,576,156.25
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,0,67,1,7,0,12,1,8,0,5,1,0.875,9,107.5,89,70.5,342.25,1369,342.25
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSetDecorator,3,24,0,4,2,5,1,6,1,4,0.888888889,1,7,48.5,122.5,60,5476,132.25,3906.25
Apache Commons Collections,org.apache.commons.collections4.set,AbstractNavigableSetDecorator,39,28,0,0,9,7,8,6,8,6,0.417910448,0.81,14,9,59,99,2500,8100,1600
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableNavigableSet,0,122,0,2,0,32,0,20,0,19,1,1,20,105,121,114.5,256,90.25,42.25
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSerializableSetDecorator,0,19,0,0,0,8,0,3,0,3,1,0.81,3,104.5,58.5,29,2116,5700.25,870.25
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,0,31,0,4,0,6,0,7,0,5,1,1,7,104,119.5,58.5,240.25,2070.25,3721
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,23,455,5,59,6,109,7,51,2,24,0.951882845,0.921875,58,62,92,131,900,4761,1521
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,10,298,3,33,2,78,3,37,0,22,0.967532468,0.916666667,40,67,90.5,126,552.25,3481,1260.25
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,44,60,4,0,8,12,4,8,2,8,0.576923077,0,12,16,6,85.5,100,4830.25,6320.25
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSortedSetDecorator,19,20,0,0,5,6,4,5,4,5,0.512820513,0.81,9,13,57,67,1936,2916,100
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedNavigableSet,15,74,0,0,3,15,3,11,3,11,0.831460674,0.81,14,38,56.5,94.5,342.25,3192.25,1444
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSortedSet,0,64,0,0,0,13,0,9,0,9,1,0.81,9,98.5,56,66.5,1806.25,1024,110.25
Apache Commons Collections,org.apache.commons.collections4.set,TransformedNavigableSet,55,74,4,0,10,15,6,11,4,11,0.573643411,0,17,14,5.5,102.5,72.25,7832.25,9409
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,36,29,4,0,11,10,6,4,4,4,0.446153846,0,10,10,5,70.5,25,3660.25,4290.25
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,84,154,6,14,13,43,8,16,4,10,0.647058824,0.7,24,15,22.5,111,56.25,9216,7832.25
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyMapIterator,0,10,0,0,0,4,0,3,0,3,1,0.81,3,95,52.5,28.5,1806.25,4422.25,576
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,0,75,0,14,0,22,0,13,0,6,1,1,13,94.5,109,87,210.25,56.25,484
