GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),"D*2(Q,S)",D*2(R&S)
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4,0.795454545,0.866666667,21,31,147,227.5,13456,38612.25,6480.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,258,3,27,0,66,3,28,0,16,0.973584906,0.9,31,80,155.5,245,5700.25,27225,8010.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5,0.857142857,0.83,6,38.5,89.5,127,2601,7832.25,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,17,0,10,0,9,1,1,10,195,239.5,163.5,1980.25,992.25,5776
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25,0.860655738,0.777777778,43,39,29.5,258,90.25,47961,52212.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11,0.974576271,0.928571429,18,79,164.5,210,7310.25,17161,2070.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7,1,1,20,192.5,237,220.5,1980.25,784,272.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,106,7,42,0,24,0.793456033,0.78,49,30,30,259,0,52441,52441
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,299,10,36,7,62,9,26,0,12,0.799465241,0.782608696,35,30,30,244.5,0,46010.25,46010.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,392,465,25,27,83,124,68,43,50,35,0.542590432,0.519230769,111,12,15,278,9,70756,69169
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3,1,1,4,189,233.5,87,1980.25,10404,21462.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},0,10,0,0,0,3,0,2,0,2,1,0.83,2,188.5,85,31,10712.25,24806.25,2916
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4,1,0.83,4,188,84.5,85.5,10712.25,10506.25,1
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,35,0,4,0,11,0,5,0,3,1,1,5,187.5,231,107,1892.25,6480.25,15376
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,3,26,1,15,0,11,0.861702128,0.9,16,37,148,196.5,12321,25440.25,2352.25
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,0,63,0,16,0,19,0,10,0,2,1,1,10,186,229.5,159,1892.25,729,4970.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,3,149,1,11,1,32,1,11,0,6,0.980263158,0.916666667,12,79,152.5,169.5,5402.25,8190.25,289
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,42,294,8,36,11,78,8,25,1,10,0.875,0.818181818,33,38,34,236,16,39204,40804
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,0,71,0,8,0,18,0,8,0,4,1,1,8,183.5,227,142.5,1892.25,1681,7140.25
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,8,757,6,128,4,194,7,83,1,22,0.989542484,0.955223881,90,84,169,265,7225,32761,9216
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,36,1,1,0,4,1,2,0,2,0.972972973,0.5,3,72,12,62,3600,100,2500
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,45,0,0,0,4,0,2,0,2,1,0.83,2,181,82,30.5,9801,22650.25,2652.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,46,0,0,0,5,0,2,0,2,1,0.83,2,180.5,81.5,30,9801,22650.25,2652.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,4,0,2,0,2,1,0.83,2,180,81,29.5,9801,22650.25,2652.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,87,0,8,0,15,0,6,0,2,1,1,6,179.5,221.5,118.5,1764,3721,10609
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,106,0,6,0,17,0,5,0,2,1,1,5,179,221,102.5,1764,5852.25,14042.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0,117,1,19,0,34,1,13,0,4,1,0.95,14,178.5,161.5,175.5,289,9,196
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,7,0,4,0,4,1,0.83,4,178,80.5,81,9506.25,9409,0.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,28,356,1,33,7,90,2,34,1,18,0.927083333,0.970588235,36,47,167,229,14400,33124,3844
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,50,0,2,0,6,0,3,0,2,1,1,3,176.5,217.5,58.5,1681,13924,25281
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,0,73,0,6,0,23,0,7,0,4,1,1,7,176,217,127,1681,2401,8100
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6,1,1,9,175.5,216.5,141,1681,1190.25,5700.25
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,5,0,4,0,4,1,0.83,4,175,80,79.5,9025,9120.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,8,1,4,0,2,0.971428571,0.833333333,5,69,128.5,99,3540.25,900,870.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,14,0,0,0,3,0,3,0,3,1,0.83,3,173.5,79.5,58,8836,13340.25,462.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,6,85,3,7,0,20,3,8,0,6,0.934065934,0.7,11,48,20,149.5,784,10302.25,16770.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18,1,1,20,172,212,197,1600,625,225
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,3,0,3,0,3,1,0.83,3,171.5,78,57.5,8742.25,12996,420.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventListener() {...},0,9,0,0,0,3,0,2,0,2,1,0.83,2,171,77.5,29,8742.25,20164,2352.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,0,13,0,6,0,6,1,0.83,6,170.5,77,110,8742.25,3660.25,1089
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,11,214,0,20,2,54,1,25,1,15,0.951111111,1,26,53,208.5,203.5,24180.25,22650.25,25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,662,3,83,4,173,3,77,0,37,0.980740741,0.965116279,80,74,158,242.5,7056,28392.25,7140.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3,1,1,4,168,207,76,1521,8464,17161
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,298,14,20,15,81,14,17,2,12,0.792553191,0.588235294,31,28,16,211.5,144,33672.25,38220.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20,0.918367347,0.833333333,32,41,122,212,6561,29241,8100
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,2,165.5,75.5,28.5,8100,18769,2209
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,575,1,51,2,136,1,60,0,35,0.989672978,0.980769231,61,76,159,231,6889,24025,5184
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,430,86,12,6,73,18,66,6,57,6,0.166666667,0.333333333,72,4,6.5,234.5,6.25,53130.25,51984
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5,1,0.83,5,163,74,93.5,7921,4830.25,380.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,80,1387,17,109,10,344,15,153,0,104,0.945466939,0.865079365,168,48,121,241,5329,37249,14400
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4,1,0.83,4,161.5,73.5,74.5,7744,7569,1
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,136,0,8,2,35,0,15,0,11,0.957746479,1,15,54,198.5,165.5,20880.25,12432.25,1089
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,201,3,68,0,36,0.9972106,0.957142857,71,79,149,230,4900,22801,6561
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2,1,0.83,2,159,73,28,7396,17161,2025
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6,1,1,7,158.5,196,115.5,1406.25,1849,6480.25
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,681,2,10,3,121,4,94,2,90,0.968705548,0.833333333,98,59,116.5,232,3306.25,29929,13340.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,47,474,13,57,8,132,13,48,0,26,0.909788868,0.814285714,61,37,29,225.5,64,35532.25,38612.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,196,1,11,0,51,1,19,0,14,1,0.916666667,20,156,129,186.5,729,930.25,3306.25
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,72,0,4,0,20,0,11,0,9,1,1,11,155.5,192.5,140,1369,240.25,2756.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,2,1,2,1,2,0.722222222,0.83,3,22,71.5,54,2450.25,1024,306.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,2,154,71,27.5,6889,16002.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5,0.892857143,0.8125,13,35,28,148,49,12769,14400
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,5,1,3,1,3,0.606060606,0.83,4,14,69.5,71,3080.25,3249,2.25
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,79,1,5,2,21,2,7,1,5,0.951807229,0.833333333,9,45,111,125.5,4356,6480.25,210.25
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},5,97,1,7,0,25,1,11,0,8,0.950980392,0.875,12,44,115.5,140,5112.25,9216,600.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,36,214,0,18,12,62,6,30,6,21,0.856,1,36,30,186,199.5,24336,28730.25,182.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,36,0,0,0,13,0,6,0,6,1,0.83,6,148.5,69,101.5,6320.25,2209,1056.25
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,6,141,0,10,2,38,0,19,0,14,0.959183673,1,19,48,184.5,174,18632.25,15876,110.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,1,180,2,16,1,45,2,13,0,6,0.994475138,0.888888889,15,66,116,155,2500,7921,1521
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,4,548,1,31,1,136,1,48,0,33,0.992753623,0.96875,49,65,138,206.5,5329,20022.25,4692.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,24,110,1,13,14,41,10,20,9,14,0.820895522,0.928571429,30,27,125,192,9604,27225,4489
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,32,813,1,85,7,219,1,77,0,35,0.962130178,0.988372093,78,47,141,214,8836,27889,5329
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,11,555,4,68,5,147,4,57,0,25,0.980565371,0.944444444,61,57,130,211,5329,23716,6561
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,9,0,4,0,3,1,1,4,142,179,70.5,1369,5112.25,11772.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,21,0,4,0,6,0,5,0,3,1,1,5,141.5,178.5,87,1369,2970.25,8372.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,2,0,2,0,2,1,0.83,2,141,68.5,27,5256.25,12996,1722.25
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration.ConfigData,0,160,0,8,0,43,0,14,0,10,1,1,14,140.5,177,147,1332.25,42.25,900
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,0,6,0,4,0,4,1,0.83,4,140,68,69,5184,5041,1
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,18,365,4,34,5,105,7,31,3,16,0.953002611,0.894736842,38,44,114,192,4900,21904,6084
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel,0,11,0,0,0,3,0,2,0,2,1,0.83,2,138.5,67.5,26.5,5041,12544,1681
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.InterpolatedVisitor,28,174,4,10,7,44,3,17,0,13,0.861386139,0.714285714,20,30,18,170,144,19600,23104
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration.new EventListener() {...},8,6,0,0,2,1,1,1,1,1,0.428571429,0.83,2,8.5,66,26,3306.25,306.25,1600
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,10,0,6,0,5,1,1,6,136,171.5,95,1260.25,1681,5852.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4,0.774647887,0.916666667,11,21,114.5,127.5,8742.25,11342.25,169
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.new Iterable() {...},0,15,0,0,0,2,0,2,0,2,1,0.83,2,134.5,65.5,25.5,4761,11881,1600
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,0,215,0,20,0,58,0,27,0,17,1,1,27,134,169,175.5,1225,1722.25,42.25
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,0,13,0,6,0,6,1,0.83,6,133.5,65,93.5,4692.25,1600,812.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6,1,1,9,133,167.5,115,1190.25,324,2756.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,174,1,21,0,45,1,23,0,13,1,0.954545455,24,132.5,124.5,169.5,64,1369,2025
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,0,17,0,5,0,5,1,0.83,5,132,64.5,81.5,4556.25,2550.25,289
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5,1,1,6,131.5,165,92,1122.25,1560.25,5329
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,0,111,0,14,0,33,0,16,0,9,1,1,16,131,164.5,145,1122.25,196,380.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,2,0,2,0,2,1,0.83,2,130.5,64,25,4422.25,11130.25,1521
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,304,0,46,0,67,0,41,0,18,1,1,41,130,163,182,1089,2704,361
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler.new ValueTransformer() {...},0,5,0,0,0,2,0,2,0,2,1,0.83,2,129.5,63.5,24.5,4356,11025,1521
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,0,7,0,5,0,5,1,0.83,5,129,63,79,4356,2500,256
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5,1,1,18,128.5,160.5,149.5,1024,441,121
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,88,1027,20,128,14,187,21,76,1,22,0.921076233,0.864864865,97,32,99,190,4489,24964,8281
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,0,1,0,1,0,1,1,0.83,1,127,62.5,4.5,4160.25,15006.25,3364
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7,0.963768116,0.954545455,18,42,118,148,5776,11236,900
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8,0.983673469,0.868421053,28,51,98.5,164,2256.25,12769,4290.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,0,8,0,4,0,4,1,0.83,4,124.5,62,62.5,3906.25,3844,0.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,4,4,2,2,2,2,0.5625,0.83,4,10,61.5,62,2652.25,2704,0.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,16,0,0,0,8,0,4,0,4,1,0.83,4,123,61,61.5,3844,3782.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,6,0,3,0,3,1,0.83,3,122.5,60.5,45.5,3844,5929,225
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,5,8,2,5,1,4,0.608695652,0.5,7,12,10.5,92,2.25,6400,6642.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,13,0,0,0,6,0,2,0,2,1,0.83,2,121,59,23,3844,9604,1296
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,0,100,0,12,0,24,0,11,0,5,1,1,11,120.5,150,112,870.25,72.25,1444
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,0,194,0,30,0,50,0,22,0,7,1,1,22,120,149.5,151,870.25,961,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,23,459,1,57,8,114,1,45,0,17,0.952282158,0.982758621,46,36,115,168.5,6241,17556.25,2862.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,4,135,1,11,2,35,2,22,1,17,0.971223022,0.916666667,24,41,99,152,3364,12321,2809
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0,127,2,14,0,24,2,18,0,12,1,0.875,20,117.5,94,147.5,552.25,900,2862.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,1,22,2,14,1,13,0.971014493,0.75,16,40,18.5,133.5,462.25,8742.25,13225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,0,13,0,0,0,4,0,2,0,2,1,0.83,2,116,57.5,22.5,3422.25,8742.25,1225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData,13,219,1,15,2,59,1,20,0,13,0.943965517,0.9375,21,35,101.5,146,4422.25,12321,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.WrapperBuilder,0,24,0,0,0,8,0,4,0,4,1,0.83,4,114.5,57,58,3306.25,3192.25,1
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,1,88,1,13,1,22,1,12,0,6,0.988764045,0.928571429,13,47,97.5,117.5,2550.25,4970.25,400
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,4,87,0,14,2,23,2,15,2,8,0.956043956,1,17,36,141,133.5,11025,9506.25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,957,10,66,4,237,10,70,0,42,0.974541752,0.868421053,80,39,89,169,2500,16900,6400
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,23,0,12,0,10,1,1,12,111,139.5,112.5,812.25,2.25,729
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,1,16,1,8,1,6,0.926829268,1,9,31,139,100.5,11664,4830.25,1482.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,0,85,0,4,0,28,0,11,0,9,1,1,11,109.5,138.5,108.5,841,1,900
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,47,0,0,0,13,0,6,0,6,1,0.83,6,109,56.5,80.5,2756.25,812.25,576
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,2,108.5,56,22,2756.25,7482.25,1156
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.new EventListener() {...},0,27,0,0,0,6,0,2,0,2,1,0.83,2,108,55.5,21.5,2756.25,7482.25,1156
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,6,231,0,20,1,68,1,34,1,24,0.974683544,1,35,38,135,147,9409,11881,144
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,2,417,2,30,1,105,2,35,0,21,0.99522673,0.9375,37,44,95,148,2601,10816,2809
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,0,15,1,5,0,4,0.983870968,0.75,6,41,18,78,529,1369,3600
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,19,0,5,0,4,1,1,5,104.5,132.5,68.5,784,1296,4096
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,0,152,0,10,0,33,0,17,0,12,1,1,17,104,132,125,784,441,49
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},0,37,0,2,0,10,0,3,0,2,1,1,3,103.5,131.5,41,784,3906.25,8190.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,2,103,54,21,2401,6724,1089
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,6,242,0,18,2,61,0,26,0,17,0.975806452,1,26,38,130,135,8464,9409,25
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0,276,1,39,0,84,1,38,0,19,1,0.975,39,101.5,98.5,143,9,1722.25,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.EventSourceSupport,0,34,0,0,0,4,0,1,0,1,1,0.83,1,101,53.5,4,2256.25,9409,2450.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,0,73,0,12,0,22,0,13,0,7,1,1,13,100.5,127.5,106,729,30.25,462.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,22,0,0,0,6,0,3,0,3,1,0.83,3,100,53,38.5,2209,3782.25,210.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,39,0,0,0,10,0,5,0,5,1,0.83,5,99.5,52.5,64,2209,1260.25,132.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager.DefaultHandlerData,0,47,1,11,0,12,1,8,0,3,1,0.916666667,9,99,85.5,90,182.25,81,20.25
